Location,Indicator Rate Value,Indicator Rate Value Units,Rate Lower Confidence Interval,Rate Upper Confidence Interval,Period of Measure
77069,64313,dollars,57728,70898,2013-2017
77069,65307,dollars,56973,73641,2012-2016
77069,67618,dollars,57812,77424,2011-2015
77069,64498,dollars,57608,71388,2010-2014
77069,68495,dollars,61251,75739,2009-2013
77069,66856,dollars,58163,75549,2008-2012
77069,67895,dollars,61867,73923,2007-2011
77070,66983,dollars,61535,72431,2014-2018
77070,69038,dollars,63576,74500,2013-2017
77070,71428,dollars,68060,74796,2012-2016
77070,69929,dollars,67261,72597,2011-2015
77070,70632,dollars,67191,74073,2010-2014
77070,69139,dollars,66125,72153,2009-2013
77070,70634,dollars,66225,75043,2008-2012
77070,69122,dollars,65292,72952,2007-2011
77071,46801,dollars,41702,51900,2014-2018
77071,49137,dollars,42816,55458,2013-2017
77071,44824,dollars,41456,48192,2012-2016
77071,46871,dollars,43193,50549,2011-2015
77071,47521,dollars,44729,50313,2010-2014
77071,45941,dollars,42555,49327,2009-2013
77071,44958,dollars,41738,48178,2008-2012
77071,44867,dollars,40469,49265,2007-2011
77072,41557,dollars,38871,44243,2014-2018
77072,41041,dollars,39247,42835,2013-2017
77072,39103,dollars,36662,41544,2012-2016
77072,37060,dollars,35364,38756,2011-2015
77072,37143,dollars,35573,38713,2010-2014
77072,35462,dollars,33704,37220,2009-2013
77072,35763,dollars,33750,37776,2008-2012
77072,36457,dollars,34977,37937,2007-2011
77073,52095,dollars,48388,55802,2014-2018
77073,54079,dollars,50033,58125,2013-2017
77073,52327,dollars,49083,55571,2012-2016
77073,53450,dollars,50289,56611,2011-2015
77073,52273,dollars,49763,54783,2010-2014
77073,51206,dollars,47772,54640,2009-2013
77073,50745,dollars,48383,53107,2008-2012
77073,50017,dollars,47640,52394,2007-2011
77074,40214,dollars,36792,43636,2014-2018
77074,36593,dollars,34815,38371,2013-2017
77074,34920,dollars,32633,37207,2012-2016
77074,34529,dollars,33050,36008,2011-2015
77074,34421,dollars,32427,36415,2010-2014
77074,36207,dollars,33444,38970,2009-2013
77074,35154,dollars,33355,36953,2008-2012
77074,34512,dollars,33167,35857,2007-2011
77075,53633,dollars,50837,56429,2014-2018
77075,50653,dollars,48239,53067,2013-2017
77075,48612,dollars,44708,52516,2012-2016
77075,46043,dollars,40706,51380,2011-2015
77075,47644,dollars,42251,53037,2010-2014
77075,45581,dollars,41903,49259,2009-2013
77075,47737,dollars,44309,51165,2008-2012
77075,48901,dollars,45197,52605,2007-2011
77076,37072,dollars,35049,39095,2014-2018
77076,34842,dollars,32027,37657,2013-2017
77076,31930,dollars,29350,34510,2012-2016
77076,31093,dollars,28212,33974,2011-2015
77076,30403,dollars,28013,32793,2010-2014
77076,31212,dollars,28389,34035,2009-2013
77076,32764,dollars,29898,35630,2008-2012
77076,32243,dollars,29467,35019,2007-2011
77077,65922,dollars,61511,70333,2014-2018
77077,66587,dollars,63885,69289,2013-2017
77077,63701,dollars,59577,67825,2012-2016
77077,63559,dollars,60290,66828,2011-2015
77077,62784,dollars,59383,66185,2010-2014
77077,59958,dollars,55313,64603,2009-2013
77077,61702,dollars,56391,67013,2008-2012
77077,60398,dollars,55787,65009,2007-2011
77078,37356,dollars,29548,45164,2014-2018
77078,35770,dollars,32891,38649,2013-2017
77078,32040,dollars,26764,37316,2012-2016
77078,31118,dollars,27955,34281,2011-2015
77078,28338,dollars,24589,32087,2010-2014
77078,30368,dollars,23456,37280,2009-2013
77078,32441,dollars,26926,37956,2008-2012
77078,33995,dollars,30395,37595,2007-2011
77079,100107,dollars,89594,110620,2014-2018
77079,98774,dollars,91583,105965,2013-2017
77079,101743,dollars,99259,104227,2012-2016
77079,100367,dollars,97453,103281,2011-2015
77079,99650,dollars,96917,102383,2010-2014
77079,95589,dollars,90002,101176,2009-2013
77079,94924,dollars,90421,99427,2008-2012
77079,92460,dollars,87475,97445,2007-2011
77080,44814,dollars,40865,48763,2014-2018
77080,44386,dollars,41119,47653,2013-2017
77080,41285,dollars,39160,43410,2012-2016
77080,40983,dollars,38770,43196,2011-2015
77080,38407,dollars,36217,40597,2010-2014
77080,38159,dollars,35491,40827,2009-2013
77080,36162,dollars,34406,37918,2008-2012
77080,36453,dollars,34786,38120,2007-2011
77081,31196,dollars,29961,32431,2014-2018
77081,29079,dollars,26707,31451,2013-2017
77081,27691,dollars,25918,29464,2012-2016
77081,27187,dollars,25769,28605,2011-2015
77081,27191,dollars,25686,28696,2010-2014
77081,26741,dollars,25295,28187,2009-2013
77081,27789,dollars,26019,29559,2008-2012
77081,28949,dollars,26949,30949,2007-2011
77082,53313,dollars,49426,57200,2014-2018
77082,53999,dollars,50844,57154,2013-2017
77082,49825,dollars,47012,52638,2012-2016
77082,49813,dollars,46640,52986,2011-2015
77082,50894,dollars,48437,53351,2010-2014
77082,50294,dollars,47465,53123,2009-2013
77082,49962,dollars,46467,53457,2008-2012
77082,49163,dollars,46391,51935,2007-2011
77083,54650,dollars,51791,57509,2014-2018
77083,54786,dollars,51475,58097,2013-2017
77083,55290,dollars,52718,57862,2012-2016
77083,52045,dollars,48719,55371,2011-2015
77083,52075,dollars,47713,56437,2010-2014
77083,53879,dollars,50620,57138,2009-2013
77083,54639,dollars,51420,57858,2008-2012
77083,57517,dollars,54629,60405,2007-2011
77084,65742,dollars,61671,69813,2014-2018
77084,65617,dollars,61637,69597,2013-2017
77084,66914,dollars,63957,69871,2012-2016
77084,63597,dollars,60563,66631,2011-2015
77084,64652,dollars,61451,67853,2010-2014
77084,62785,dollars,59344,66226,2009-2013
77084,62248,dollars,59438,65058,2008-2012
77084,62025,dollars,59533,64517,2007-2011
77085,56288,dollars,52939,59637,2014-2018
77085,55950,dollars,51791,60109,2013-2017
77085,53362,dollars,50168,56556,2012-2016
77085,56153,dollars,48905,63401,2011-2015
77085,49872,dollars,45462,54282,2010-2014
77085,49466,dollars,45528,53404,2009-2013
77085,51250,dollars,44174,58326,2008-2012
77085,51278,dollars,43524,59032,2007-2011
77086,47303,dollars,44271,50335,2014-2018
77086,43116,dollars,38122,48110,2013-2017
77086,41119,dollars,38299,43939,2012-2016
77086,41466,dollars,37998,44934,2011-2015
77086,42581,dollars,39465,45697,2010-2014
77086,42030,dollars,39013,45047,2009-2013
77086,43665,dollars,41350,45980,2008-2012
77086,43892,dollars,41882,45902,2007-2011
77087,37222,dollars,35165,39279,2014-2018
77087,35302,dollars,33031,37573,2013-2017
77087,34187,dollars,31687,36687,2012-2016
77087,32206,dollars,30156,34256,2011-2015
77087,36792,dollars,32715,40869,2010-2014
77087,38707,dollars,36117,41297,2009-2013
77087,40440,dollars,38441,42439,2008-2012
77087,39613,dollars,37639,41587,2007-2011
77088,44422,dollars,41679,47165,2014-2018
77088,44472,dollars,41995,46949,2013-2017
77088,42287,dollars,39480,45094,2012-2016
77088,42299,dollars,39419,45179,2011-2015
77088,42447,dollars,39471,45423,2010-2014
77088,40896,dollars,38538,43254,2009-2013
77088,41067,dollars,39173,42961,2008-2012
77088,41104,dollars,38997,43211,2007-2011
77089,68204,dollars,63707,72701,2014-2018
77089,66775,dollars,62272,71278,2013-2017
77089,64766,dollars,61468,68064,2012-2016
77089,65251,dollars,62358,68144,2011-2015
77089,65186,dollars,62542,67830,2010-2014
77089,63141,dollars,59959,66323,2009-2013
77089,63027,dollars,60472,65582,2008-2012
77089,62640,dollars,60037,65243,2007-2011
77090,39879,dollars,36899,42859,2014-2018
77090,39392,dollars,36738,42046,2013-2017
77090,39583,dollars,36052,43114,2012-2016
77090,37910,dollars,33869,41951,2011-2015
77090,37727,dollars,33368,42086,2010-2014
77090,36138,dollars,30991,41285,2009-2013
77090,38459,dollars,34093,42825,2008-2012
77090,40151,dollars,37200,43102,2007-2011
77091,35940,dollars,33006,38874,2014-2018
77091,32500,dollars,29204,35796,2013-2017
77091,31516,dollars,29064,33968,2012-2016
77091,30038,dollars,26499,33577,2011-2015
77091,28628,dollars,25375,31881,2010-2014
77091,27903,dollars,25004,30802,2009-2013
77091,29000,dollars,24296,33704,2008-2012
77091,28510,dollars,24588,32432,2007-2011
77092,40521,dollars,37919,43123,2014-2018
77092,39921,dollars,37968,41874,2013-2017
77092,37706,dollars,35252,40160,2012-2016
77092,37085,dollars,33550,40620,2011-2015
77092,37383,dollars,34684,40082,2010-2014
77092,37314,dollars,35172,39456,2009-2013
77092,35555,dollars,33729,37381,2008-2012
77092,35647,dollars,33753,37541,2007-2011
77093,31261,dollars,30042,32480,2014-2018
77093,30837,dollars,29421,32253,2013-2017
77093,31383,dollars,29840,32926,2012-2016
77093,32317,dollars,30753,33881,2011-2015
77093,33085,dollars,31021,35149,2010-2014
77093,31725,dollars,30303,33147,2009-2013
77093,31550,dollars,29623,33477,2008-2012
77093,32222,dollars,29875,34569,2007-2011
77094,175840,dollars,156075,195605,2014-2018
77094,158160,dollars,138882,177438,2013-2017
77094,168611,dollars,145675,191547,2012-2016
77094,170069,dollars,145051,195087,2011-2015
77094,158398,dollars,125183,191613,2010-2014
77094,146518,dollars,112190,180846,2009-2013
77094,155577,dollars,138981,172173,2008-2012
77094,155256,dollars,143794,166718,2007-2011
77095,94290,dollars,87730,100850,2014-2018
77095,92175,dollars,87961,96389,2013-2017
77095,88148,dollars,81397,94899,2012-2016
77095,88043,dollars,83283,92803,2011-2015
77095,88555,dollars,84809,92301,2010-2014
77095,89393,dollars,86219,92567,2009-2013
77095,89752,dollars,85809,93695,2008-2012
77095,92815,dollars,87748,97882,2007-2011
77096,64022,dollars,60080,67964,2014-2018
77096,61583,dollars,57398,65768,2013-2017
77096,58538,dollars,54388,62688,2012-2016
77096,60575,dollars,56897,64253,2011-2015
77096,59556,dollars,54914,64198,2010-2014
77096,63346,dollars,57756,68936,2009-2013
77096,65011,dollars,58455,71567,2008-2012
77096,66460,dollars,61894,71026,2007-2011
77098,87200,dollars,81983,92417,2014-2018
77098,87820,dollars,83439,92201,2013-2017
77098,83686,dollars,78326,89046,2012-2016
77098,80932,dollars,74323,87541,2011-2015
77098,82017,dollars,76540,87494,2010-2014
77098,81907,dollars,74299,89515,2009-2013
77098,78652,dollars,71936,85368,2008-2012
77098,76556,dollars,67797,85315,2007-2011
77099,39783,dollars,37738,41828,2014-2018
77099,38878,dollars,36975,40781,2013-2017
77099,36355,dollars,34695,38015,2012-2016
77099,35209,dollars,33669,36749,2011-2015
77099,36755,dollars,35175,38335,2010-2014
77099,35252,dollars,33510,36994,2009-2013
77099,35879,dollars,33538,38220,2008-2012
77099,36306,dollars,34662,37950,2007-2011
77336,69512,dollars,62123,76901,2014-2018
77336,67563,dollars,58462,76664,2013-2017
77336,65655,dollars,56222,75088,2012-2016
77336,70497,dollars,64322,76672,2011-2015
77336,63814,dollars,55881,71747,2010-2014
77336,62995,dollars,54956,71034,2009-2013
77336,63347,dollars,56974,69720,2008-2012
77336,65212,dollars,59718,70706,2007-2011
77338,54489,dollars,50496,58482,2014-2018
77338,50263,dollars,47350,53176,2013-2017
77338,48459,dollars,45689,51229,2012-2016
77338,47587,dollars,44636,50538,2011-2015
77338,47534,dollars,44685,50383,2010-2014
77338,48046,dollars,44970,51122,2009-2013
77338,48673,dollars,42594,54752,2008-2012
77338,47968,dollars,41910,54026,2007-2011
77339,73710,dollars,70310,77110,2014-2018
77339,73466,dollars,68402,78530,2013-2017
77339,70554,dollars,66295,74813,2012-2016
77339,71312,dollars,66810,75814,2011-2015
77339,72200,dollars,68665,75735,2010-2014
77339,73135,dollars,69145,77125,2009-2013
77339,71759,dollars,66579,76939,2008-2012
77339,75176,dollars,67926,82426,2007-2011
77345,132955,dollars,124970,140940,2014-2018
77345,128646,dollars,123687,133605,2013-2017
77345,125990,dollars,119798,132182,2012-2016
77345,122905,dollars,115980,129830,2011-2015
77345,121224,dollars,113846,128602,2010-2014
77345,119708,dollars,113378,126038,2009-2013
77345,124055,dollars,114072,134038,2008-2012
77345,123616,dollars,116107,131125,2007-2011
77346,103478,dollars,99593,107363,2014-2018
77346,98840,dollars,94200,103480,2013-2017
77346,91446,dollars,86065,96827,2012-2016
77346,90116,dollars,84453,95779,2011-2015
77346,87878,dollars,83628,92128,2010-2014
77346,86523,dollars,83637,89409,2009-2013
77346,87508,dollars,84070,90946,2008-2012
77346,86581,dollars,82152,91010,2007-2011
77373,69046,dollars,64814,73278,2014-2018
77373,67924,dollars,64166,71682,2013-2017
77373,67078,dollars,62718,71438,2012-2016
77373,66686,dollars,62988,70384,2011-2015
77373,67464,dollars,64337,70591,2010-2014
77373,67742,dollars,64370,71114,2009-2013
77373,69604,dollars,66193,73015,2008-2012
77373,67742,dollars,65137,70347,2007-2011
77375,72049,dollars,67341,76757,2014-2018
77375,69446,dollars,63696,75196,2013-2017
77375,69046,dollars,64600,73492,2012-2016
77375,67633,dollars,61255,74011,2011-2015
77375,61941,dollars,55256,68626,2010-2014
77375,60782,dollars,54261,67303,2009-2013
77375,61463,dollars,56074,66852,2008-2012
77375,59324,dollars,53281,65367,2007-2011
77377,99276,dollars,93552,105000,2014-2018
77377,96064,dollars,89850,102278,2013-2017
77377,92338,dollars,85065,99611,2012-2016
77377,94432,dollars,85798,103066,2011-2015
77377,93884,dollars,84313,103455,2010-2014
77377,87474,dollars,77425,97523,2009-2013
77377,96630,dollars,91269,101991,2008-2012
77377,94083,dollars,89997,98169,2007-2011
77379,102008,dollars,97714,106302,2014-2018
77379,99693,dollars,95035,104351,2013-2017
77379,100997,dollars,97739,104255,2012-2016
77379,98335,dollars,94637,102033,2011-2015
77379,97864,dollars,95178,100550,2010-2014
77379,97692,dollars,93849,101535,2009-2013
77379,100814,dollars,96507,105121,2008-2012
77379,101715,dollars,97352,106078,2007-2011
77388,90483,dollars,85811,95155,2014-2018
77388,87574,dollars,83607,91541,2013-2017
77388,84164,dollars,81051,87277,2012-2016
77388,82725,dollars,78770,86680,2011-2015
77388,82059,dollars,78783,85335,2010-2014
77388,82936,dollars,78374,87498,2009-2013
77388,81650,dollars,78610,84690,2008-2012
77388,84421,dollars,79502,89340,2007-2011
77389,125781,dollars,119244,132318,2014-2018
77389,115725,dollars,107311,124139,2013-2017
77389,115783,dollars,107621,123945,2012-2016
77389,105438,dollars,96969,113907,2011-2015
77389,102205,dollars,92416,111994,2010-2014
77389,99702,dollars,90452,108952,2009-2013
77389,92689,dollars,82918,102460,2008-2012
77389,87675,dollars,81793,93557,2007-2011
77396,66455,dollars,62973,69937,2014-2018
77396,64195,dollars,61240,67150,2013-2017
77396,60942,dollars,57329,64555,2012-2016
77396,59027,dollars,54084,63970,2011-2015
77396,57440,dollars,52614,62266,2010-2014
77396,56575,dollars,52032,61118,2009-2013
77396,58775,dollars,55369,62181,2008-2012
77396,58739,dollars,55490,61988,2007-2011
77401,185795,dollars,163560,208030,2014-2018
77401,172205,dollars,151055,193355,2013-2017
77401,169545,dollars,145915,193175,2012-2016
77401,162703,dollars,150759,174647,2011-2015
77401,154053,dollars,133005,175101,2010-2014
77401,144821,dollars,122033,167609,2009-2013
77401,147660,dollars,127784,167536,2008-2012
77401,136000,dollars,116287,155713,2007-2011
77429,107072,dollars,102657,111487,2014-2018
77429,103092,dollars,97943,108241,2013-2017
77429,101552,dollars,97158,105946,2012-2016
77429,100122,dollars,96067,104177,2011-2015
77429,98191,dollars,94882,101500,2010-2014
77429,96695,dollars,92853,100537,2009-2013
77429,96759,dollars,92942,100576,2008-2012
77429,98100,dollars,95144,101056,2007-2011
77433,109084,dollars,104248,113920,2014-2018
77433,103773,dollars,99363,108183,2013-2017
77433,100457,dollars,95593,105321,2012-2016
77433,96371,dollars,89600,103142,2011-2015
77433,93884,dollars,87739,100029,2010-2014
77433,89258,dollars,82943,95573,2009-2013
77433,92142,dollars,85391,98893,2008-2012
77433,92150,dollars,85261,99039,2007-2011
77447,72656,dollars,66903,78409,2014-2018
77447,72775,dollars,67583,77967,2013-2017
77447,74836,dollars,69644,80028,2012-2016
77447,70286,dollars,62547,78025,2011-2015
77447,65235,dollars,58966,71504,2010-2014
77447,65682,dollars,61278,70086,2009-2013
77447,65263,dollars,61018,69508,2008-2012
77447,62451,dollars,58223,66679,2007-2011
77449,76163,dollars,71122,81204,2014-2018
77449,72397,dollars,67856,76938,2013-2017
77449,71096,dollars,67349,74843,2012-2016
77449,68854,dollars,65023,72685,2011-2015
77449,66550,dollars,62783,70317,2010-2014
77449,65420,dollars,62528,68312,2009-2013
77449,65445,dollars,61889,69001,2008-2012
77449,63836,dollars,60972,66700,2007-2011
77450,97681,dollars,90420,104942,2014-2018
77450,101240,dollars,96311,106169,2013-2017
77450,100504,dollars,95458,105550,2012-2016
77450,98640,dollars,93448,103832,2011-2015
77450,99732,dollars,94748,104716,2010-2014
77450,100957,dollars,96578,105336,2009-2013
77450,99575,dollars,96174,102976,2008-2012
77450,99304,dollars,95280,103328,2007-2011
77493,86614,dollars,80239,92989,2014-2018
77493,85865,dollars,77244,94486,2013-2017
77493,82630,dollars,75399,89861,2012-2016
77493,75087,dollars,68550,81624,2011-2015
77493,76393,dollars,70247,82539,2010-2014
77493,78452,dollars,74334,82570,2009-2013
77493,77272,dollars,72654,81890,2008-2012
77493,77044,dollars,71187,82901,2007-2011
77502,50035,dollars,46341,53729,2014-2018
77502,46105,dollars,43608,48602,2013-2017
77502,45813,dollars,43165,48461,2012-2016
77502,44964,dollars,42089,47839,2011-2015
77502,43893,dollars,41308,46478,2010-2014
77502,43014,dollars,40857,45171,2009-2013
77502,42939,dollars,40442,45436,2008-2012
77502,41763,dollars,38149,45377,2007-2011
77503,50445,dollars,47129,53761,2014-2018
77503,45778,dollars,42255,49301,2013-2017
77503,43277,dollars,37947,48607,2012-2016
77503,45487,dollars,41064,49910,2011-2015
77503,46224,dollars,43399,49049,2010-2014
77503,44939,dollars,41062,48816,2009-2013
77503,42207,dollars,38375,46039,2008-2012
77503,43909,dollars,40576,47242,2007-2011
77504,42973,dollars,39393,46553,2014-2018
77504,40693,dollars,38136,43250,2013-2017
77504,41487,dollars,39453,43521,2012-2016
77504,41972,dollars,38867,45077,2011-2015
77504,40642,dollars,37658,43626,2010-2014
77504,40321,dollars,36778,43864,2009-2013
77504,42226,dollars,37805,46647,2008-2012
77504,41691,dollars,38090,45292,2007-2011
77505,78487,dollars,75057,81917,2014-2018
77505,77490,dollars,73811,81169,2013-2017
77505,74894,dollars,71092,78696,2012-2016
77505,73138,dollars,68577,77699,2011-2015
77505,73294,dollars,68198,78390,2010-2014
77505,72695,dollars,66778,78612,2009-2013
77505,72172,dollars,67614,76730,2008-2012
77505,73011,dollars,68128,77894,2007-2011
77506,38311,dollars,36141,40481,2014-2018
77506,34838,dollars,32945,36731,2013-2017
77506,31840,dollars,30548,33132,2012-2016
77506,30912,dollars,29340,32484,2011-2015
77506,29965,dollars,27957,31973,2010-2014
77506,30617,dollars,28629,32605,2009-2013
77506,30590,dollars,28763,32417,2008-2012
77506,33394,dollars,30836,35952,2007-2011
77520,47817,dollars,44965,50669,2014-2018
77520,46311,dollars,43956,48666,2013-2017
77520,45936,dollars,42742,49130,2012-2016
77520,43424,dollars,40696,46152,2011-2015
77520,43094,dollars,40447,45741,2010-2014
77520,43409,dollars,41433,45385,2009-2013
77520,44181,dollars,41504,46858,2008-2012
77520,42906,dollars,40576,45236,2007-2011
77521,68318,dollars,64617,72019,2014-2018
77521,62513,dollars,59537,65489,2013-2017
77521,58261,dollars,52392,64130,2012-2016
77521,58081,dollars,52410,63752,2011-2015
77521,54343,dollars,49751,58935,2010-2014
77521,53726,dollars,50485,56967,2009-2013
77521,57352,dollars,53532,61172,2008-2012
77521,55881,dollars,52769,58993,2007-2011
77530,57716,dollars,51367,64065,2014-2018
77530,55761,dollars,50238,61284,2013-2017
77530,51209,dollars,48077,54341,2012-2016
77530,49452,dollars,45288,53616,2011-2015
77530,45514,dollars,40972,50056,2010-2014
77530,44786,dollars,38575,50997,2009-2013
77530,43439,dollars,38825,48053,2008-2012
77530,47579,dollars,41857,53301,2007-2011
77532,65805,dollars,61406,70204,2014-2018
77532,62606,dollars,59455,65757,2013-2017
77532,62785,dollars,59511,66059,2012-2016
77532,63211,dollars,60032,66390,2011-2015
77532,62313,dollars,58783,65843,2010-2014
77532,63236,dollars,60448,66024,2009-2013
77532,64317,dollars,58855,69779,2008-2012
77532,63005,dollars,58924,67086,2007-2011
77536,81177,dollars,76599,85755,2014-2018
77536,82420,dollars,75290,89550,2013-2017
77536,80152,dollars,76032,84272,2012-2016
77536,78882,dollars,74527,83237,2011-2015
77536,79251,dollars,75484,83018,2010-2014
77536,77824,dollars,74271,81377,2009-2013
77536,76482,dollars,73940,79024,2008-2012
77536,77228,dollars,73469,80987,2007-2011
77547,42872,dollars,35294,50450,2014-2018
77547,41037,dollars,34693,47381,2013-2017
77547,43750,dollars,37329,50171,2012-2016
77547,42191,dollars,36921,47461,2011-2015
77547,42434,dollars,37199,47669,2010-2014
77547,38692,dollars,33473,43911,2009-2013
77547,40310,dollars,32520,48100,2008-2012
77547,35912,dollars,29436,42388,2007-2011
77562,60130,dollars,50455,69805,2014-2018
77562,62077,dollars,55899,68255,2013-2017
77562,60533,dollars,55721,65345,2012-2016
77562,60066,dollars,52911,67221,2011-2015
77562,59688,dollars,53183,66193,2010-2014
77562,57394,dollars,50278,64510,2009-2013
77562,54504,dollars,49943,59065,2008-2012
77562,52139,dollars,48477,55801,2007-2011
77571,73742,dollars,70199,77285,2014-2018
77571,75232,dollars,71430,79034,2013-2017
77571,72155,dollars,68201,76109,2012-2016
77571,70689,dollars,65777,75601,2011-2015
77571,69480,dollars,65186,73774,2010-2014
77571,68102,dollars,63962,72242,2009-2013
77571,66983,dollars,62886,71080,2008-2012
77571,69004,dollars,64147,73861,2007-2011
77586,93760,dollars,87519,100001,2014-2018
77586,90612,dollars,82453,98771,2013-2017
77586,87543,dollars,81363,93723,2012-2016
77586,88455,dollars,79856,97054,2011-2015
77586,87136,dollars,77324,96948,2010-2014
77586,86786,dollars,73818,99754,2009-2013
77586,86474,dollars,73426,99522,2008-2012
77586,85746,dollars,74992,96500,2007-2011
77587,45643,dollars,41528,49758,2014-2018
77587,44371,dollars,40753,47989,2013-2017
77587,41840,dollars,39939,43741,2012-2016
77587,41211,dollars,38773,43649,2011-2015
77587,38750,dollars,33395,44105,2010-2014
77587,36083,dollars,33390,38776,2009-2013
77587,36420,dollars,32210,40630,2008-2012
77587,37147,dollars,32822,41472,2007-2011
77598,54181,dollars,49283,59079,2014-2018
77598,52167,dollars,48142,56192,2013-2017
77598,48059,dollars,45086,51032,2012-2016
77598,47623,dollars,44049,51197,2011-2015
77598,46161,dollars,42381,49941,2010-2014
77598,46682,dollars,43364,50000,2009-2013
77598,44884,dollars,41414,48354,2008-2012
77598,45773,dollars,42473,49073,2007-2011
